,KGE,NSE,sitenum,summer_params,winter_params,spring_params,fall_params,meanQ
0,0.6544531337029307,0.40857209009949935,01095220,[ 0.18464029 -0.00497374  0.57604012],[0.05035175 0.00055625 0.40126161],[ 0.1620312  -0.00496863  1.03527433],[ 0.09395735 -0.00297372  0.65434639],50.2256539164964
0,0.3646500405421461,-0.3998095116457008,01104475,[0.05441365 0.02385246 1.63567171],[0.11570917 0.02131931 0.78972673],[0.20970306 0.19930682 0.45898054],[ 0.08074194 -0.06623811  1.15506333],1.0317708333333333
0,0.7164767778312582,0.4469762933165857,01362500,[ 2.80424758e-01 -2.51149023e-04  1.11161645e+00],[9.24301865e-02 5.95391191e-05 7.63072653e-01],[ 2.63503725e-01 -9.19392794e-04  1.57170624e+00],[ 1.43418746e-01 -2.99647804e-05  4.19440237e-01],741.234375
0,0.4358498459170551,0.03324975495044602,01449360,[ 0.10893272 -0.00141479  0.72162188],[0.03922082 0.00142961 1.14344846],[ 1.30397298e-01 -5.60169313e-04  1.46937265e+00],[6.25833652e-02 6.15332798e-04 8.62395871e-01],202.06770833333331
0,0.3349688110598067,-0.2815816848845152,01466500,[ 0.07929659 -0.19236976  0.54204904],[ 0.02873448 -0.16330659  0.64957561],[ 0.08903805 -0.10404058  0.25554507],[ 0.03895713 -0.06380054  0.35867279],2.223520833333333
0,0.509311349435944,-0.0782231245387277,02011400,[ 1.50520033e-01 -8.34200807e-04  1.84263879e+00],[ 1.33537878e-01 -6.05306071e-05  6.78497425e-01],[ 1.70614172e-01 -1.58925752e-03  1.82610981e+00],[ 1.49338294e-01 -4.23244017e-04  5.11928992e-01],111.77083333333333
0,0.1934985228087862,0.05120385935480143,02077200,[ 6.93346348e-03 -2.05935282e-03  2.31595247e+00],[7.06790363e-02 7.61804642e-04 1.51415599e+00],[ 1.21513855e-01 -7.13221361e-04  1.35924027e+00],[6.20132470e-02 1.95654846e-04 1.37718606e+00],22.586458333333333
0,0.14434062405133952,-0.029360684688618965,02203655,[1.03777831e-01 7.75379954e-04 1.01211958e+00],[ 1.13923725e-01 -1.80653832e-04  1.49541187e+00],[1.17705762e-01 7.44963915e-05 1.51175541e+00],[7.04151812e-02 7.77141715e-04 1.37441808e+00],60.40630208333333
0,0.40293046290370405,-0.12318916209084363,02203700,[ 0.1137974  -0.01032743  2.13697683],[ 0.22035551 -0.007544    1.2563743 ],[ 0.24028688 -0.01559369  1.56351054],[ 0.16371668 -0.0044486   1.24536382],29.972291666666663
0,0.20006813383211386,-0.4247009804031403,02207185,[ 0.18104683 -0.00767099  0.20382042],[ 0.18446626 -0.00722981  0.78470583],[ 0.21928859 -0.0068713   0.00610879],[ 0.15125103 -0.00610781  0.6297679 ],15.867280245200092
0,0.2948162274453855,-0.44262983891453866,02207385,[ 0.16975937 -0.01499611  0.6280728 ],[ 0.17601522 -0.00477034  0.82760052],[ 0.20602647 -0.00769025  0.20907526],[ 0.15493878 -0.00310933  0.58856622],28.130961247841103
0,0.27362116914605283,-0.31933475241592646,02207400,[ 0.23066434 -0.01342532 -0.15457296],[ 0.16053705 -0.0081278   1.13120985],[0.1750987  0.00575775 0.76329966],[ 0.14255118 -0.00297219  0.67178315],13.930052083333333
0,0.335170907567101,-0.19502502060136817,02208150,[ 0.12276004 -0.00146688  1.23707844],[ 0.1801396  -0.00280765  1.04384487],[ 0.19193219 -0.00394298  1.14422816],[ 0.12863179 -0.00117055  1.042103  ],53.849999999999994
0,0.14311908561469755,-0.5607708376861846,02217274,[ 0.11656287 -0.04701197  0.8051266 ],[ 0.23224193 -0.08931382  0.88240197],[ 0.21676198 -0.01966383  0.15973042],[ 0.13054486 -0.0301542   1.03734241],2.132083333333333
0,0.10717529149957694,-0.4149790733488874,02218565,[ 0.14905078 -0.00164632  0.33651184],[ 0.19135919 -0.00856623  1.09560741],[ 0.22827515  0.00358327 -0.17373267],[ 0.10069131 -0.00158457  1.11632199],9.694166666666668
0,0.21506006420365886,0.0406839149483369,02310650,[ 0.07501044 -0.00389674  0.9216166 ],[0.06465189 0.00236463 0.60173307],[ 0.05471749 -0.00220221  0.99839669],[ 0.06708152 -0.00249435  0.43625523],82.83588541666666
0,0.05799693499008041,-0.06721370921622194,02310700,[ 1.80361959e-02 -8.59650459e-04  2.44282265e+00],[ 5.87877931e-02 -1.49445467e-03  1.71485417e+00],[1.79304970e-02 2.53327701e-04 2.35704261e+00],[6.40541722e-02 3.19187615e-04 1.19434908e+00],430.77937499999996
0,-0.19653476132773973,-0.13183635464340115,02310747,[ 6.70615816e-02 -3.04581473e-04  1.65695507e+00],[ 4.09540989e-02 -9.29440543e-05  1.78521722e+00],[9.52293385e-03 3.05101500e-05 1.80483231e+00],[5.05439435e-02 5.11519651e-05 1.23952540e+00],1145.5364583333335
0,0.26704945180656436,-0.46779604737872726,02334480,[ 0.18737196 -0.01022541  0.42534891],[ 0.20879398 -0.01007644  0.98817863],[ 0.27349002 -0.00274727 -0.04736475],[ 0.1322203  -0.00218486  0.91513706],17.859947916666666
0,0.15002701319842204,-0.3021373959116771,02334578,[ 0.09656363 -0.00164417  0.84527678],[ 0.15189207 -0.0066916   1.12532707],[ 0.19833653 -0.00262038  0.32991747],[0.08401146 0.0037609  1.05651035],8.650520833333333
0,-0.056188046291332006,-0.030575620532998782,02334885,[ 6.46885017e-02 -4.85245921e-05  4.18545421e-01],[3.19362277e-02 1.10317768e-04 1.07213524e+00],[6.84395042e-02 1.20195012e-04 4.81126733e-01],[ 3.18562295e-02 -2.78190599e-05  9.65109976e-01],109.178125
0,0.22013571777333474,-0.6438333879981084,02335350,[ 0.15284253 -0.00184088  0.97423719],[ 0.15959418 -0.00106653  0.89096062],[ 0.2044843  -0.00462192  0.83175443],[ 1.33051841e-01 -2.22185195e-04  8.38315616e-01],33.07895833333333
0,-0.025425200952776006,-0.2509176015224255,02336030,[-4.15956133e-03 -3.21628084e-05  2.48260299e+00],[0.12501232 0.01459951 1.57049669],[0.10895693 0.00579529 1.62080287],[0.02359066 0.03112516 1.87651519],5.5848958333333325
0,0.29545138460612796,-0.07709387997294459,02336120,[ 7.65323004e-02 -5.00097744e-04  1.75518154e+00],[ 1.29770072e-01 -6.33790625e-04  1.29008535e+00],[ 1.57360145e-01 -1.36889903e-03  1.38465268e+00],[4.92269152e-02 2.20681495e-04 1.59632754e+00],104.4359375
0,0.43161958567032066,-0.05246428084449062,02336240,[ 0.24681422 -0.0020578   0.65768602],[ 1.55491347e-01 -3.80882030e-04  1.06969794e+00],[ 0.22642379 -0.00219043  0.85771197],[1.04500867e-01 2.11029886e-04 1.20952088e+00],66.39927083333333
0,0.4732141145459854,0.015801687051199775,02336300,[ 1.68500425e-01 -1.89068353e-03  1.95061930e+00],[ 1.50518520e-01 -5.58437634e-04  1.03860329e+00],[ 1.44178190e-01 -1.07125143e-03  2.19446987e+00],[ 1.36490804e-01 -2.85401107e-04  1.09222815e+00],198.04583333333335
0,0.40989482385023834,-0.05587022619060256,02336526,[ 0.1629531  -0.00207346  1.70890723],[ 1.98491952e-01 -6.50010374e-04  1.23963428e+00],[ 2.64995229e-01 -7.93807572e-04  1.40376803e+00],[8.37638472e-02 6.21259051e-04 1.63391227e+00],29.714062499999997
0,-0.018411885794088922,-0.0007380323788197529,02423130,[-4.75055942e-02 -6.40414024e-04  2.33376874e+00],[ 0.15277701 -0.00104556  0.72121562],[ 1.46545020e-01 -8.93907050e-04  1.14724755e+00],[0.01681332 0.00277683 1.16714254],22.09375
0,0.28338284768386635,-0.7033454534526198,02455980,[ 0.12626906 -0.00150089  1.31892349],[ 0.17715768 -0.00092764  0.5942442 ],[ 0.22209371 -0.00080518  0.24216247],[ 1.08216895e-01 -8.84116157e-04  9.02958332e-01],41.09791666666666
0,0.3857272166641039,-0.48249591906655453,02457595,[ 1.78650540e-01 -1.87950316e-04  8.81222718e-01],[ 0.18092249 -0.000747    0.57345924],[ 2.08941471e-01 -6.65522493e-04  8.00822518e-01],[ 0.16733537 -0.00131592  0.62657981],90.42083333333333
0,0.4557358065110796,-0.22599521208884443,02458450,[ 2.03401512e-01 -1.00265885e-03  1.84034013e+00],[ 0.19777721 -0.00121623  0.85592611],[ 0.25985972 -0.00241091  1.33410613],[ 0.17777279 -0.00129593  0.85512252],109.67708333333334
